stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding,stop_id
14662,14662,Dundas West Station,,43.656862,-79.453415,,,,,,1,14662
14663,14663,Dundas West Station,,43.656975,-79.453099,,,,,,1,14663
14665,14665,Dundas West Station,,43.656821,-79.453463,,,,,,1,14665
14666,14666,Dundas West Station,,43.656698,-79.45346,,,,,,1,14666
14669,14669,Eglinton Station,,43.704582,-79.39846,,,,,,1,14669
14670,14670,Eglinton Station,,43.70476,-79.398499,,,,,,1,14670
14672,14672,Eglinton Station,,43.705256,-79.398613,,,,,,1,14672
14673,14673,Eglinton Station,,43.705532,-79.399237,,,,,,1,14673
14674,14674,Eglinton Station,,43.705572,-79.399461,,,,,,1,14674
14675,14675,Eglinton Station,,43.705608,-79.399657,,,,,,1,14675
14676,14676,Cedarvale Station,,43.699447,-79.436493,,,,,,1,14676
14679,14679,Cedarvale Station,,43.6997,-79.436081,,,,,,1,14679
14680,14680,Cedarvale Station,,43.699598,-79.435953,,,,,,1,14680
14681,14681,Cedarvale Station,,43.699453,-79.435904,,,,,,1,14681
14682,14682,Cedarvale Station,,43.699302,-79.435846,,,,,,1,14682
14683,14683,Finch Station,,43.780942,-79.414829,,,,,,1,14683
14684,14684,Finch Station,,43.78073,-79.414746,,,,,,1,14684
14685,14685,Finch Station,,43.780467,-79.414636,,,,,,1,14685
14686,14686,Finch Station,,43.78029,-79.414537,,,,,,1,14686
14687,14687,Finch Station,,43.780619,-79.414857,,,,,,1,14687
14689,14689,Finch Station,,43.780942,-79.414992,,,,,,1,14689
14690,14690,Finch Station,,43.781111,-79.415064,,,,,,1,14690
14692,14692,Finch Station,,43.78143,-79.415193,,,,,,1,14692
14694,14694,Greenwood Station,,43.682553,-79.330354,,,,,,2,14694
14695,14695,High Park Station,,43.65397,-79.466354,,,,,,1,14695
14696,14696,High Park Station,,43.654074,-79.465887,,,,,,1,14696
14700,14700,Jane Station,,43.649911,-79.484072,,,,,,1,14700
14701,14701,Jane Station,,43.649968,-79.483848,,,,,,1,14701
14702,14702,Jane Station,,43.650037,-79.483598,,,,,,1,14702
14703,14703,Jane Station,,43.650093,-79.483319,,,,,,1,14703
14704,14704,Keele Station,,43.65565,-79.459571,,,,,,1,14704
14705,14705,Keele Station,,43.655427,-79.459586,,,,,,1,14705
